City,Air_Quality_Index,Happiness_Score,Cost_of_Living_Index,Region,Country,AvgTemperature,Traffic_enc,IATA,Airport name,"Meal, Inexpensive Restaurant (euro)","Meal for 2 People, Mid-range Restaurant, Three-course (euro)",Rent per month Apartment (1 bedroom) in City Centre (euro),Rent per month Apartment (1 bedroom) Outside of Centre (euro),Rent per month Apartment (3 bedrooms) in City Centre (euro),Rent per month Apartment (3 bedrooms) Outside of Centre (euro),Pays,Vol euro,Séjour euro,Sur place euro,Latitude,Longitude,Continent_enc
Los Angeles,50,6.8,90,North America,États-Unis,16.975391257420398,1,"['LAX', 'LSQ', 'WHP']","['Los Angeles International Airport', 'María Dolores Airport', 'Whiteman Airport']",13.0,73.0,2156.0,1639.0,3918.0,3022.0,US,513.0,1409.0,97.0,34.0536909,-118.242766,4
Chicago,55,7.0,85,North America,États-Unis,10.191257420399353,1,"['MDW', 'ORD']","['Chicago Midway International Airport', ""Chicago O'Hare International Airport""]",13.0,67.0,1653.0,1206.0,3284.0,2057.0,US,513.0,1409.0,97.0,41.8755616,-87.6244212,4
Londres,60,7.2,110,Europe,Royaume-Uni,11.308439456075977,2,"['BQH', 'LCY', 'LGW', 'LHR', 'LOZ', 'LTN', 'NHT', 'STN', 'YXU']","['London Biggin Hill Airport', 'London City Airport', 'London Gatwick Airport', 'London Heathrow Airport', 'London-Corbin Airport/Magee Field', 'London Luton Airport', 'RAF Northolt', 'London Stansted Airport', 'London Airport']",13.0,68.0,1940.0,1401.0,3253.0,2292.0,United Kingdom,92.0,1160.0,108.0,51.4893335,-0.14405508452768728,1
Paris,65,6.9,95,Europe,France,11.632203755665875,2,"['CDG', 'LBG', 'ORY', 'PHT', 'PRX']","['Charles de Gaulle International Airport', 'Paris-Le Bourget Airport', 'Paris-Orly Airport', 'Henry County Airport', 'Cox Field']",10.0,52.0,1112.0,821.0,2492.0,1694.0,France,64.0,599.0,90.0,48.8534951,2.3483915,1
Tokyo,70,6.0,120,Asia,Japon,16.13749190589251,2,"['HND', 'NRT']","['Tokyo Haneda International Airport', 'Narita International Airport']",5.0,37.0,928.0,536.0,2035.0,1103.0,Japan,586.0,2749.0,82.0,35.6821936,139.762221,2
Séoul,75,5.8,105,Asia,Corée du Sud,11.597560975609756,2,"['GMP', 'ICN']","['Gimpo International Airport', 'Incheon International Airport']",5.0,44.0,680.0,490.0,2200.0,1414.0,South Korea,550.0,1438.0,71.0,37.5666791,126.9782914,2
Sydney,30,7.8,115,Australia/South Pacific,Australie,14.179689186272393,0,"['BWU', 'SYD', 'YQY']","['Sydney Bankstown Airport', 'Sydney Kingsford Smith International Airport', 'Sydney / J.A. Douglas McCurdy Airport']",8.0,68.0,1391.0,1044.0,2785.0,1790.0,Australia,1008.0,3580.0,109.0,-33.8698439,151.2082848,5
Istanbul,85,6.8,75,Middle East,Turquie,15.250917332182171,2,"['ISL', 'IST', 'SAW']","['Istanbul New Airport', 'Istanbul International Airport', 'Sabiha Gökçen International Airport']",5.0,20.0,453.0,262.0,867.0,484.0,Turkey,174.0,411.0,55.0,41.0766019,29.052495,6
Rio de Janeiro,55,6.5,80,South/Central America & Carribean,Brésil,22.875229357798165,1,['SNZ'],['Santa Cruz Air Force Base'],5.0,24.0,324.0,208.0,649.0,468.0,Brazil,734.0,1417.0,66.0,-22.9110137,-43.2093727,3
Toronto,40,7.1,95,North America,Canada,8.660892831995493,1,"['YKZ', 'YTZ', 'YYZ', 'YZD']","['Buttonville Municipal Airport', 'Billy Bishop Toronto City Centre Airport', 'Lester B. Pearson International Airport', 'Downsview Airport']",13.0,69.0,1424.0,1205.0,2305.0,1928.0,Canada,641.0,1831.0,93.0,43.6534817,-79.3839347,4
Mexico,90,5.2,65,North America,Mexique,16.68256880733945,3,['MEX'],['Licenciado Benito Juarez International Airport'],5.0,34.0,663.0,406.0,1258.0,750.0,Mexico,596.0,1275.0,51.0,19.4326296,-99.1331785,4
Bangkok,110,4.0,50,Asia,Thaïlande,22.46031229668185,2,"['BKK', 'DMK']","['Suvarnabhumi Airport', 'Don Mueang International Airport']",2.0,24.0,491.0,235.0,1675.0,769.0,Thailand,596.0,1017.0,40.0,13.7524938,100.4935089,2
Buenos Aires,60,6.1,60,South/Central America & Carribean,Argentine,16.824195985322685,2,"['AEP', 'EZE']","['Jorge Newbery Airpark', 'Ministro Pistarini International Airport']",5.0,21.0,259.0,190.0,527.0,373.0,Argentina,825.0,2773.0,78.0,-34.6073387,-58.4432852,3
Amsterdam,50,7.9,105,Europe,Pays-Bas,10.443233326138571,0,['AMS'],['Amsterdam Airport Schiphol'],13.0,70.0,1485.0,1270.0,2494.0,1827.0,The Netherlands,73.0,580.0,103.0,52.3730796,4.8924534,1
Le Caire,115,3.5,55,Africa,Égypte,22.186919922296568,3,"['CAI', 'CIR']","['Cairo International Airport', 'Cairo Regional Airport']",4.0,17.0,166.0,95.0,333.0,197.0,Egypt,257.0,526.0,45.0,30.0443879,31.2357257,7
Moscou,80,5.8,70,Europe,Russie,5.5148931577811355,2,"['CKL', 'DME', 'OSF', 'SVO', 'VKO', 'ZIA']","['Chkalovskiy Air Base', 'Domodedovo International Airport', 'Ostafyevo International Airport', 'Sheremetyevo International Airport', 'Vnukovo International Airport', 'Zhukovsky International Airport']",8.0,55.0,980.0,566.0,1881.0,1003.0,Russia,174.0,1448.0,73.0,55.625578,37.6063916,1
Singapour,60,7.0,125,Asia,Singapour,27.579861860565508,2,"['QPG', 'SIN', 'TGA']","['Paya Lebar Air Base', 'Singapore Changi Airport', 'Tengah Air Base']",6.0,50.0,2234.0,1650.0,4464.0,2910.0,Singapore,577.0,1963.0,76.0,1.357107,103.8194992,2
Dubaï,120,6.0,110,Middle East,Émirats arabes unis,28.31221670623786,1,"['DXB', 'NHD']","['Dubai International Airport', 'Al Minhad Air Base']",7.0,69.0,1470.0,859.0,2745.0,1667.0,United Arab Emirates,276.0,636.0,75.0,25.074282349999997,55.18853865430702,6
Hong Kong,100,5.5,130,Asia,Hong Kong,23.91409453917548,2,['HKG'],['Hong Kong International Airport'],5.0,54.0,1918.0,1368.0,3853.0,2531.0,Hong Kong,641.0,1781.0,140.0,22.350627,114.1849161,2
Barcelone,35,7.7,90,Europe,Espagne,16.247355924886683,1,"['BCN', 'BLA']","['Barcelona International Airport', 'General José Antonio Anzoategui International Airport']",9.0,52.0,903.0,705.0,1488.0,1149.0,Spain,60.0,415.0,71.0,41.3828939,2.1774322,1
Lisbonne,40,7.8,75,Europe,Portugal,16.581804446363048,0,['LIS'],['Humberto Delgado Airport'],7.0,44.0,1021.0,673.0,1778.0,1093.0,Portugal,119.0,600.0,69.0,38.7077507,-9.1365919,1
Melbourne,45,7.9,115,Australia/South Pacific,Australie,18.170407943017484,0,"['AVV', 'MBW', 'MEL', 'MLB']","['Avalon Airport', 'Melbourne Moorabbin Airport', 'Melbourne International Airport', 'Melbourne International Airport']",10.0,68.0,1030.0,843.0,1907.0,1310.0,Australia,1008.0,3580.0,109.0,-37.8142454,144.9631732,5
Auckland,35,8.1,100,Australia/South Pacific,Nouvelle-Zélande,14.942046190373409,0,"['AKL', 'WIK']","['Auckland International Airport', 'Waiheke Reeve Airport']",10.0,62.0,1108.0,973.0,1973.0,1606.0,New Zealand,1099.0,2032.0,109.0,-36.852095,174.7631803,5
Rome,70,6.7,85,Europe,Italie,15.675588171810922,2,"['CIA', 'FCO', 'REO', 'RME', 'RMG']","['Ciampino–G. B. Pastine International Airport', 'Leonardo da Vinci–Fiumicino Airport', 'Rome State Airport', 'Griffiss International Airport', 'Richard B Russell Airport']",11.0,61.0,886.0,602.0,1890.0,1132.0,Italy,60.0,470.0,90.0,41.8933203,12.4829321,1
Athènes,75,6.2,70,Europe,Grèce,15.331254752851711,1,"['AHN', 'ATH', 'MMI']","['Athens Ben Epps Airport', 'Eleftherios Venizelos International Airport', 'McMinn County Airport']",7.0,44.0,427.0,381.0,739.0,702.0,Greece,183.0,417.0,59.0,33.9597677,-83.376398,1
Vienne,30,8.2,95,Europe,Autriche,10.580185624865099,0,['VIE'],['Vienna International Airport'],10.0,52.0,825.0,580.0,1623.0,1115.0,Austria,110.0,730.0,99.0,48.2083537,16.3725042,1
Dublin,40,7.0,105,Europe,Irlande,9.4775523418951,1,"['DBN', 'DUB', 'PSK']","[""W H 'Bud' Barron Airport"", 'Dublin Airport', 'New River Valley Airport']",13.0,70.0,1670.0,1459.0,3022.0,2418.0,Ireland,82.0,846.0,97.0,53.3493795,-6.2605593,1
Copenhague,35,8.3,110,Europe,Danemark,8.304985970213684,0,"['CPH', 'RKE']","['Copenhagen Kastrup Airport', 'Copenhagen Roskilde Airport']",13.0,93.0,1432.0,1074.0,2177.0,1667.0,Denmark,110.0,1235.0,136.0,55.6867243,12.5700724,1
Stockholm,30,8.0,100,Europe,Suède,7.2660263328297,0,"['ARN', 'BMA', 'SMP']","['Stockholm-Arlanda Airport', 'Stockholm-Bromma Airport', 'Stockholm Airport']",7.0,64.0,1146.0,853.0,1909.0,1299.0,Sweden,128.0,1680.0,118.0,59.3251172,18.0710935,1
Oslo,25,8.5,115,Europe,Norvège,4.952924097884695,0,"['OSL', 'RYG']","['Oslo Gardermoen Airport', 'Moss Airport, Rygge']",13.0,91.0,1179.0,960.0,1928.0,1530.0,Norway,128.0,2317.0,156.0,59.9133301,10.7389701,1
Helsinki,20,8.4,90,Europe,Finlande,5.692208072523203,0,"['HEL', 'HEM']","['Helsinki Vantaa Airport', 'Helsinki Malmi Airport']",8.0,70.0,874.0,697.0,1751.0,1209.0,Finland,137.0,1318.0,123.0,60.1674881,24.9427473,1
Prague,65,7.3,80,Europe,République tchèque,8.666306928556011,1,['PRG'],['Václav Havel Airport Prague'],5.0,37.0,793.0,592.0,1408.0,1013.0,Czech Republic,73.0,118.0,47.0,50.0874654,14.4212535,1
Budapest,70,6.8,75,Europe,Hongrie,10.607813511763435,1,['BUD'],['Budapest Liszt Ferenc International Airport'],5.0,32.0,399.0,309.0,740.0,531.0,Hungary,69.0,470.0,59.0,47.48138955,19.14609412691246,1
Varsovie,75,6.7,70,Europe,Pologne,8.76149363263544,1,"['WAW', 'WMI']","['Warsaw Chopin Airport', 'Modlin Airport']",5.0,38.0,653.0,497.0,1214.0,927.0,Poland,92.0,1222.0,49.0,52.2319581,21.0067249,1
Sofia,80,6.0,60,Europe,Bulgarie,7.3140513706022015,2,['SOF'],['Sofia Airport'],6.0,31.0,367.0,277.0,689.0,474.0,Bulgaria,87.0,836.0,52.0,-15.2538402,48.2562163,1
Belgrade,85,5.5,55,Europe,Yougoslavie,12.239909345996114,2,['BEG'],['Belgrade Nikola Tesla Airport'],5.0,27.0,533.0,333.0,956.0,607.0,Yugoslavia,156.0,1381.0,50.0,44.8178131,20.4568974,1
Lima,100,4.2,55,South/Central America & Carribean,Pérou,19.231939163498097,3,"['AOH', 'LIM']","['Lima Allen County Airport', 'Jorge Chávez International Airport']",4.0,19.0,422.0,285.0,790.0,570.0,Peru,861.0,2235.0,42.0,-12.0621065,-77.0365256,3
Bogota,110,5.0,60,South/Central America & Carribean,Colombie,12.889812216706238,2,['BOG'],['El Dorado International Airport'],3.0,16.0,269.0,213.0,496.0,377.0,Colombia,696.0,2783.0,59.0,4.6533816,-74.0836333,3
Caracas,115,3.0,50,South/Central America & Carribean,Venezuela,25.72563410685375,3,['CCS'],['Simón Bolívar International Airport'],5.0,42.0,322.0,270.0,698.0,493.0,Venezuela,678.0,1577.0,68.0,10.5060934,-66.9146008,3
Quito,120,4.5,55,South/Central America & Carribean,Équateur,5.749519890260631,2,['UIO'],['Mariscal Sucre International Airport'],3.0,36.0,374.0,200.0,559.0,402.0,Equador,734.0,1870.0,47.0,-0.2201641,-78.5123274,3
Panama,125,5.8,60,South/Central America & Carribean,Panama,26.42337578243039,1,['PAM'],['Tyndall Air Force Base'],5.0,42.0,763.0,429.0,1498.0,817.0,Panama,641.0,1613.0,62.0,30.1586518,-85.6602936,3
La Havane,135,6.0,50,South/Central America & Carribean,Cuba,22.568436960276337,1,"['HAV', 'UPB']","['José Martí International Airport', 'Playa Baracoa Airport']",5.0,34.0,297.0,187.0,1364.0,613.0,Cuba,687.0,1119.0,59.0,23.135305,-82.3589631,3
Saint-Domingue,140,5.5,55,South/Central America & Carribean,République dominicaine,18.430329195898544,2,"['SDQ', 'STD']","['Las Américas International Airport', 'Mayor Buenaventura Vivas International Airport']",5.0,32.0,755.0,311.0,1299.0,527.0,Dominican Republic,641.0,902.0,52.0,18.4801972,-69.942111,3
Manille,150,4.5,45,Asia,Philippines,27.520720915173754,3,['MNL'],['Ninoy Aquino International Airport'],3.0,23.0,470.0,236.0,1472.0,574.0,Philippines,606.0,2196.0,33.0,14.5906346,120.9799964,2
Jakarta,155,4.0,40,Asia,Indonésie,2.152725310307609,3,"['CGK', 'HLP', 'PCB', 'PPJ']","['Soekarno-Hatta International Airport', 'Halim Perdanakusuma International Airport', 'Pondok Cabe Air Base', 'Pulau Panjang Airport']",2.0,18.0,405.0,227.0,938.0,490.0,Indonesia,596.0,1265.0,33.0,-6.175247,106.8270488,2
Kuala Lumpur,160,5.2,55,Asia,Malaisie,26.07532916037125,2,['KUL'],['Kuala Lumpur International Airport'],3.0,18.0,358.0,230.0,817.0,439.0,Malaysia,550.0,1842.0,31.0,3.1516964,101.6942371,2
Taipei,165,5.8,75,Asia,Taïwan,20.736671703000216,2,['TPE'],['Taiwan Taoyuan International Airport'],5.0,33.0,556.0,361.0,1222.0,844.0,Taiwan,687.0,1647.0,57.0,25.0375198,121.5636796,2
Shanghai,170,5.0,80,Asia,Chine,17.143967191884308,3,"['PVG', 'SHA']","['Shanghai Pudong International Airport', 'Shanghai Hongqiao International Airport']",5.0,34.0,907.0,474.0,2495.0,1286.0,China,458.0,1568.0,47.0,31.2323437,121.4691024,2
Pékin,175,4.5,85,Asia,Chine,12.620440319447443,3,"['NAY', 'PEK']","['Beijing Nanyuan Airport', 'Beijing Capital International Airport']",4.0,26.0,988.0,554.0,2293.0,1197.0,China,458.0,1568.0,47.0,40.190632,116.412144,2
Karachi,190,3.0,40,Asia,Pakistan,25.518834322719915,3,['KHI'],['Jinnah International Airport'],2.0,9.0,95.0,65.0,223.0,142.0,Pakistan,779.0,1752.0,83.0,24.8546842,67.0207055,2
Dacca,195,2.5,35,Asia,Bangladesh,-12.251290877796903,3,['DAC'],['Hazrat Shahjalal International Airport'],2.0,9.0,115.0,71.0,280.0,168.0,Bangladesh,1008.0,1665.0,53.0,23.7644025,90.389015,2
Colombo,200,5.5,45,Asia,Sri Lanka,23.45229872652709,2,"['CMB', 'RML']","['Bandaranaike International Colombo Airport', 'Colombo Ratmalana Airport']",1.0,9.0,248.0,95.0,470.0,191.0,Sri Lanka,568.0,1233.0,46.0,6.9388614,79.8542005,2
Islamabad,205,3.5,40,Asia,Pakistan,18.518942255801402,3,['ISB'],['New Islamabad International Airport'],1.0,13.0,138.0,90.0,335.0,194.0,Pakistan,779.0,1752.0,83.0,33.6938118,73.0651511,2
Hanoï,220,3.0,35,Asia,Vietnam,23.736132095834233,3,['HAN'],['Noi Bai International Airport'],2.0,16.0,285.0,182.0,721.0,399.0,Vietnam,596.0,1550.0,25.0,21.0283334,105.854041,2
Perth,50,7.7,110,Australia/South Pacific,Australie,16.788905676667387,0,"['JAD', 'PER', 'PSL']","['Perth Jandakot Airport', 'Perth International Airport', 'Perth/Scone Airport']",11.0,56.0,997.0,783.0,1698.0,1197.0,Australia,1008.0,3580.0,109.0,-31.9558933,115.8605855,5
Brisbane,40,7.9,100,Australia/South Pacific,Australie,20.029570472695877,0,"['ACF', 'BNE']","['Brisbane Archerfield Airport', 'Brisbane International Airport']",8.0,56.0,1083.0,857.0,1770.0,1192.0,Australia,1008.0,3580.0,109.0,-27.4689682,153.0234991,5
Canberra,35,8.0,95,Australia/South Pacific,Australie,13.091085689617959,0,['CBR'],['Canberra International Airport'],10.0,62.0,1151.0,958.0,2048.0,1498.0,Australia,1008.0,3580.0,109.0,-35.2975906,149.1012676,5
Hamilton,35,8.2,60,South/Central America & Carribean,Bermudes,19.423945387712234,1,"['BDA', 'HAB', 'HAO', 'HLT', 'HLZ', 'YHM']","['L.F. Wade International Airport', 'Marion County Rankin Fite Airport', 'Butler Co Regional Airport - Hogan Field', 'Hamilton Airport', 'Hamilton International Airport', 'John C. Munro Hamilton International Airport']",19.0,126.0,2728.0,1721.0,5596.0,3630.0,Bermuda,641.0,2665.0,211.0,43.2560802,-79.8728583,3
Denver,50,7.5,95,North America,États-Unis,9.712790070156503,1,"['APA', 'BJC', 'DEN']","['Centennial Airport', 'Rocky Mountain Metropolitan Airport', 'Denver International Airport']",12.0,60.0,1589.0,1344.0,2885.0,2158.0,US,513.0,1409.0,97.0,39.7392364,-104.984862,4
Francfort,60,7.3,90,Europe,Allemagne,-25.46977756286267,1,[nan],[nan],9.0,50.0,967.0,750.0,1837.0,1328.0,Germany,92.0,869.0,90.0,50.1106444,8.6820917,1
Genève,35,8.1,120,Europe,Suisse,10.762788689833801,0,['GVA'],['Geneva Cointrin International Airport'],16.0,106.0,1761.0,1420.0,3601.0,2653.0,Switzerland,78.0,1174.0,159.0,46.2017559,6.1466014,1
Erevan,85,5.8,50,Europe,Russie,12.050526968381897,1,['EVN'],['Zvartnots International Airport'],5.0,31.0,811.0,546.0,1306.0,777.0,Russia,174.0,1448.0,73.0,40.1777112,44.5126233,1
Zurich,40,8.2,130,Europe,Suisse,9.479063241959853,0,['ZRH'],['Zürich Airport'],16.0,106.0,1710.0,1348.0,3277.0,2401.0,Switzerland,78.0,1174.0,159.0,47.3744489,8.5410422,1
Boston,50,7.1,110,North America,États-Unis,10.793308148947652,2,['BOS'],['General Edward Lawrence Logan International Airport'],13.0,84.0,2259.0,1645.0,4212.0,2818.0,US,513.0,1409.0,97.0,42.3554334,-71.060511,4
Madrid,70,7.0,85,Europe,Espagne,14.682495143535506,2,"['ECV', 'MAD', 'TOJ']","['Cuatro Vientos Airport', 'Adolfo Suárez Madrid–Barajas Airport', 'Torrejón Airport']",7.0,44.0,874.0,694.0,1495.0,1081.0,Spain,60.0,415.0,71.0,40.4167047,-3.7035825,1
Nairobi,95,5.0,50,Africa,Kenya,-4.814512195121951,2,"['NBO', 'WIL']","['Jomo Kenyatta International Airport', 'Nairobi Wilson Airport']",4.0,27.0,341.0,155.0,824.0,359.0,Kenya,458.0,1317.0,58.0,-1.2832533,36.8172449,7
Ottawa,40,7.5,90,North America,Canada,6.627658076327278,1,"['YOW', 'YRO']","['Ottawa Macdonald-Cartier International Airport', 'Ottawa / Rockcliffe Airport']",13.0,51.0,1067.0,844.0,1697.0,1360.0,Canada,641.0,1831.0,93.0,45.4208777,-75.6901106,4
Vancouver,35,7.6,110,North America,Canada,10.204196592029291,1,"['YDT', 'YVR']","['Boundary Bay Airport', 'Vancouver International Airport']",13.0,71.0,1514.0,1267.0,2822.0,1978.0,Canada,641.0,1831.0,93.0,49.2608724,-123.113952,4
Zagreb,75,6.9,65,Europe,Croatie,8.281273610361575,1,['ZAG'],['Zagreb Airport'],5.0,38.0,483.0,351.0,791.0,559.0,Croatia,133.0,428.0,64.0,45.84264135,15.962231476593626,1
